atlas_schema,atlas_version,priority,rule_id,record_type,match_field,match_operator,match_value,model_role,parent_role,required,description
dpi.anatomy_atlas.v1,1.1.0,1000,cardiovascular_root,system_root,HierarchyPath,exact,01_Cardiovascular,cardiovascular,,true,Top-level cardiovascular hierarchy emitted by XCAT2VTK
dpi.anatomy_atlas.v1,1.1.0,990,left_atrium_myocardium,model_role,BlockName,contains,left_atrium_myocardium,cardiovascular.heart.left_atrium.myocardium,cardiovascular.heart.left_atrium,false,Non-blood-contact left atrial wall excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,right_atrium_myocardium,model_role,BlockName,contains,right_atrium_myocardium,cardiovascular.heart.right_atrium.myocardium,cardiovascular.heart.right_atrium,false,Non-blood-contact right atrial wall excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,right_ventricle_myocardium,model_role,BlockName,contains,right_ventricle_myocardium,cardiovascular.heart.right_ventricle.myocardium,cardiovascular.heart.right_ventricle,false,Non-blood-contact right ventricular wall excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_endocardium,model_role,BlockName,contains,left_ventricle_000,cardiovascular.heart.left_ventricle,cardiovascular.heart,true,Blood-contact left ventricular endocardial surface retained in Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_myocardium_001,model_role,BlockName,contains,left_ventricle_001,cardiovascular.heart.left_ventricle.myocardium,cardiovascular.heart.left_ventricle,false,Non-blood-contact left ventricular wall shell excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_myocardium_002,model_role,BlockName,contains,left_ventricle_002,cardiovascular.heart.left_ventricle.myocardium,cardiovascular.heart.left_ventricle,false,Non-blood-contact left ventricular wall shell excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_myocardium_003,model_role,BlockName,contains,left_ventricle_003,cardiovascular.heart.left_ventricle.myocardium,cardiovascular.heart.left_ventricle,false,Non-blood-contact left ventricular wall shell excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_epicardium_004,model_role,BlockName,contains,left_ventricle_004,cardiovascular.heart.left_ventricle.epicardium,cardiovascular.heart.left_ventricle,false,Non-blood-contact left ventricular outer shell excluded from Blood_Flow_v1
dpi.anatomy_atlas.v1,1.1.0,990,left_ventricle_epicardium_005,model_role,BlockName,contains,left_ventricle_005,cardiovascular.heart.left_ventricle.epicardium,cardiovascular.heart.left_ventricle,false,Optional non-blood-contact left ventricular outer shell excluded from Blood_Flow_v1
